90Avg,perMet,servArea,dis,sNumber,q,totInc
7.13,93.06,CENTRAL,CENTRAL,11,1,331
7.65,92.18,EASTERN,EASTERN,11,1,129
7.5,90.82,NORTH & WEST REGIONAL,NORTH & WEST REGIONAL,6,1,113
7.67,89.92,SOUTH & EAST REGIONAL,SOUTH & EAST REGIONAL,6,1,92
7.84,88.51,SOUTHERN D1,SOUTHERN D1,9,1,186
8.12,88.17,NORTHERN,NORTHERN,11,1,161
8.14,84.6,WESTERN D3,WESTERN D3,5,1,131
8.72,81.09,SOUTHERN D2,SOUTHERN D2,8,1,177
8.78,79.57,WESTERN D1,WESTERN D1,9,1,124
9.06,78.99,WESTERN D2,WESTERN D2,10,1,130
7.28,91.77,CENTRAL,CENTRAL,11,2,293
7.65,89.69,EASTERN,EASTERN,11,2,122
7.95,87.35,SOUTH & EAST REGIONAL,SOUTH & EAST REGIONAL,6,2,93
8.03,86.99,SOUTHERN D1,SOUTHERN D1,9,2,176
7.98,86.73,NORTH & WEST REGIONAL,NORTH & WEST REGIONAL,6,2,95
8.19,86.59,NORTHERN,NORTHERN,11,2,145
8.44,84.96,SOUTHERN D2,SOUTHERN D2,8,2,153
8.18,82.64,WESTERN D3,WESTERN D3,5,2,118
8.68,79.82,WESTERN D1,WESTERN D1,9,2,115
8.88,78.11,WESTERN D2,WESTERN D2,10,2,128
7.3,93.25,NORTH & WEST REGIONAL,NORTH & WEST REGIONAL,6,3,85
6.99,92.96,CENTRAL,CENTRAL,11,3,271
7.97,89.37,NORTHERN,NORTHERN,11,3,128
7.77,88.55,SOUTH & EAST REGIONAL,SOUTH & EAST REGIONAL,6,3,83
7.96,88.06,SOUTHERN D1,SOUTHERN D1,9,3,153
8.01,86.81,EASTERN,EASTERN,11,3,104
8.28,86.01,SOUTHERN D2,SOUTHERN D2,8,3,140
8.45,82.65,WESTERN D1,WESTERN D1,8,3,116
7.91,82.26,WESTERN D3,WESTERN D3,5,3,105
8.89,80.69,WESTERN D2,WESTERN D2,10,3,120
7.39,90.7,CENTRAL,CENTRAL,11,4,316
7.7,89.46,EASTERN,EASTERN,11,4,134
8.02,86.89,SOUTHERN D1,SOUTHERN D1,9,4,192
7.98,86.47,NORTH & WEST REGIONAL,NORTH & WEST REGIONAL,6,4,106
8.09,86.43,SOUTH & EAST REGIONAL,SOUTH & EAST REGIONAL,6,4,93
7.83,86.38,WESTERN D3,WESTERN D3,5,4,121
8.19,86.18,NORTHERN,NORTHERN,11,4,165
8.63,85.21,SOUTHERN D2,SOUTHERN D2,8,4,171
9.0,79.46,WESTERN D2,WESTERN D2,10,4,145
9.05,77.96,WESTERN D1,WESTERN D1,8,4,152
5.7,98.0,Eastern Hill,CENTRAL,1,1,360
6.7,98.0,Morwell,SOUTH & EAST REGIONAL,78,1,52
7.0,97.9,Boronia,EASTERN,85,1,112
6.4,96.5,Carlton,CENTRAL,3,1,341
7.3,96.5,Preston,NORTHERN,12,1,224
6.2,96.0,Ballarat City,NORTH & WEST REGIONAL,67,1,130
6.8,95.8,Brunswick,CENTRAL,4,1,231
6.5,95.7,Richmond,CENTRAL,10,1,359
7.1,95.7,Vermont South,EASTERN,28,1,155
6.7,95.6,Rowville,SOUTHERN D1,86,1,69
7.0,95.5,Box Hill,EASTERN,20,1,203
6.6,95.2,South Melbourne,CENTRAL,38,1,467
6.8,95.0,West Melbourne,CENTRAL,2,1,367
6.1,95.0,Ocean Grove,WESTERN D3,66,1,21
7.2,94.9,Ringwood,EASTERN,22,1,149
7.3,94.8,Oakleigh,SOUTHERN D1,25,1,177
7.3,94.7,Mornington,SOUTHERN D2,94,1,84
7.3,94.4,Croydon,EASTERN,26,1,144
7.3,94.1,Sunshine,WESTERN D2,44,1,218
7.5,93.7,Newport,WESTERN D1,42,1,86
7.4,93.7,Bendigo,NORTH & WEST REGIONAL,73,1,201
7.4,93.4,Bundoora,NORTHERN,14,1,191
7.5,93.0,Footscray,WESTERN D1,47,1,202
7.7,92.5,Thomastown,NORTHERN,7,1,153
7.6,92.2,Burwood,EASTERN,23,1,175
7.1,92.1,Traralgon,SOUTH & EAST REGIONAL,77,1,93
7.5,91.7,Heidelberg,NORTHERN,15,1,243
7.5,91.7,Belmont,WESTERN D3,64,1,115
6.7,91.5,Wangaratta,SOUTH & EAST REGIONAL,74,1,72
7.7,91.4,Geelong City,WESTERN D3,63,1,231
7.6,91.3,Windsor,CENTRAL,35,1,634
7.6,90.9,Lucas,NORTH & WEST REGIONAL,68,1,49
8.0,90.2,Mentone,SOUTHERN D1,33,1,162
7.7,90.1,North Balwyn,EASTERN,19,1,141
7.8,89.8,Ormond,SOUTHERN D1,32,1,220
7.6,89.7,Portland,NORTH & WEST REGIONAL,71,1,32
8.9,89.5,South Warrandyte,EASTERN,84,1,23
7.9,89.3,Hawthorn,CENTRAL,18,1,267
7.9,89.3,Frankston,SOUTHERN D2,91,1,289
7.9,89.2,Ascot Vale,CENTRAL,50,1,221
8.1,89.1,Latrobe West,SOUTH & EAST REGIONAL,79,1,59
8.3,89.0,Port Melbourne,CENTRAL,39,1,178
8.9,88.8,Greensborough,NORTHERN,16,1,91
8.3,88.8,Nunawading,EASTERN,27,1,145
8.2,88.7,Broadmeadows,NORTHERN,5,1,260
7.9,88.7,Northcote,CENTRAL,13,1,209
8.0,88.3,Eltham City,EASTERN,82,1,76
8.3,87.6,Mildura,NORTH & WEST REGIONAL,72,1,141
8.4,87.3,Deer Park,WESTERN D2,43,1,148
8.3,87.1,Epping,NORTHERN,11,1,145
7.7,87.1,Rosebud,SOUTHERN D2,95,1,70
7.9,87.0,Warrnambool,NORTH & WEST REGIONAL,70,1,125
8.0,86.7,Templestowe,EASTERN,30,1,92
8.0,86.4,Clayton,SOUTHERN D1,29,1,123
8.1,86.4,Glen Waverley,SOUTHERN D1,31,1,299
8.2,86.2,Malvern,SOUTHERN D1,24,1,175
8.4,86.2,St Albans,WESTERN D2,41,1,102
8.7,85.5,Shepparton,SOUTH & EAST REGIONAL,75,1,178
8.3,85.3,Corio,WESTERN D3,62,1,229
8.2,84.1,Somerton,NORTHERN,9,1,88
8.2,84.0,Highett,SOUTHERN D1,34,1,280
8.7,83.3,Wodonga,SOUTH & EAST REGIONAL,76,1,93
8.3,83.2,Springvale,SOUTHERN D1,89,1,166
8.8,83.1,Dandenong,SOUTHERN D2,87,1,339
8.4,82.9,South Morang,NORTHERN,81,1,38
8.2,82.5,Spotswood,WESTERN D1,45,1,67
8.6,82.2,Craigieburn,NORTHERN,80,1,178
8.8,82.0,Pascoe Vale,NORTHERN,6,1,160
8.3,81.7,Keilor,WESTERN D2,51,1,104
8.9,79.1,Laverton,WESTERN D1,40,1,169
9.7,78.9,Sunbury,WESTERN D2,53,1,99
10.6,78.8,Taylors Lakes,WESTERN D2,48,1,70
9.6,78.2,Melton,WESTERN D2,56,1,226
8.7,77.0,Altona,WESTERN D1,46,1,61
8.9,76.7,Derrimut,WESTERN D1,59,1,64
8.7,76.6,Tullamarine,WESTERN D2,52,1,115
9.0,76.6,Cranbourne,SOUTHERN D2,92,1,212
9.0,76.5,Patterson River,SOUTHERN D2,90,1,93
10.0,71.7,Tarneit,WESTERN D1,57,1,261
9.9,71.6,Hallam,SOUTHERN D2,88,1,197
10.2,69.8,Pakenham,SOUTHERN D2,93,1,130
10.1,68.1,Point Cook,WESTERN D1,58,1,92
10.2,67.3,Greenvale,WESTERN D2,54,1,52
9.4,60.8,Caroline Springs,WESTERN D2,55,1,163
11.1,59.6,Lara,WESTERN D3,61,1,55
6.5,97.8,Carlton,CENTRAL,3,2,342
6.0,97.0,Eastern Hill,CENTRAL,1,2,380
6.2,96.8,Ocean Grove,WESTERN D3,66,2,37
6.9,96.2,Boronia,EASTERN,85,2,100
7.0,96.2,Rowville,SOUTHERN D1,86,2,69
6.8,95.5,South Melbourne,CENTRAL,38,2,420
7.4,95.2,Templestowe,EASTERN,30,2,75
6.6,94.7,West Melbourne,CENTRAL,2,2,330
7.4,94.7,Bundoora,NORTHERN,14,2,171
7.3,94.0,Sunshine,WESTERN D2,44,2,172
6.6,93.6,Ballarat City,NORTH & WEST REGIONAL,67,2,116
7.3,93.4,Vermont South,EASTERN,28,2,147
6.6,92.9,Wangaratta,SOUTH & EAST REGIONAL,74,2,60
7.0,92.9,Mornington,SOUTHERN D2,94,2,89
7.5,92.3,Belmont,WESTERN D3,64,2,117
7.7,92.3,Traralgon,SOUTH & EAST REGIONAL,77,2,69
7.5,91.9,Ringwood,EASTERN,22,2,176
7.4,91.8,Heidelberg,NORTHERN,15,2,211
7.6,91.8,Frankston,SOUTHERN D2,91,2,225
7.2,91.7,Morwell,SOUTH & EAST REGIONAL,78,2,88
7.2,91.5,Richmond,CENTRAL,10,2,307
7.4,91.4,Brunswick,CENTRAL,4,2,216
7.5,91.3,Nunawading,EASTERN,27,2,129
7.4,91.2,Footscray,WESTERN D1,47,2,200
7.5,91.0,Box Hill,EASTERN,20,2,203
7.7,90.9,Greensborough,NORTHERN,16,2,91
7.5,90.7,Croydon,EASTERN,26,2,131
7.4,90.1,Port Melbourne,CENTRAL,39,2,143
8.0,89.9,Malvern,SOUTHERN D1,24,2,195
7.7,89.8,Rosebud,SOUTHERN D2,95,2,71
7.7,89.5,Windsor,CENTRAL,35,2,511
7.8,89.5,St Albans,WESTERN D2,41,2,147
7.6,89.4,Preston,NORTHERN,12,2,171
7.9,88.8,Burwood,EASTERN,23,2,166
7.4,88.7,Latrobe West,SOUTH & EAST REGIONAL,79,2,66
8.1,88.6,Oakleigh,SOUTHERN D1,25,2,161
8.1,88.5,Ascot Vale,CENTRAL,50,2,179
7.9,88.5,Mildura,NORTH & WEST REGIONAL,72,2,102
7.9,88.3,Clayton,SOUTHERN D1,29,2,131
7.9,88.3,Geelong City,WESTERN D3,63,2,178
8.4,88.1,Laverton,WESTERN D1,40,2,129
8.2,87.9,Hawthorn,CENTRAL,18,2,222
8.1,87.0,North Balwyn,EASTERN,19,2,115
8.3,86.8,Thomastown,NORTHERN,7,2,134
8.0,86.8,Corio,WESTERN D3,62,2,198
8.3,86.7,Somerton,NORTHERN,9,2,91
8.5,86.5,Deer Park,WESTERN D2,43,2,131
8.4,86.3,Dandenong,SOUTHERN D2,87,2,284
7.9,86.1,Lucas,NORTH & WEST REGIONAL,68,2,40
8.4,86.0,Newport,WESTERN D1,42,2,98
8.2,85.6,Northcote,CENTRAL,13,2,167
8.4,85.2,Glen Waverley,SOUTHERN D1,31,2,248
8.6,85.2,Warrnambool,NORTH & WEST REGIONAL,70,2,104
7.9,85.2,South Morang,NORTHERN,81,2,31
8.0,85.1,Highett,SOUTHERN D1,34,2,211
8.5,85.0,Broadmeadows,NORTHERN,5,2,256
9.1,84.3,Patterson River,SOUTHERN D2,90,2,81
8.3,83.9,Portland,NORTH & WEST REGIONAL,71,2,32
8.5,83.8,Ormond,SOUTHERN D1,32,2,265
8.2,83.6,Springvale,SOUTHERN D1,89,2,156
8.5,83.5,Epping,NORTHERN,11,2,122
8.6,83.1,Bendigo,NORTH & WEST REGIONAL,73,2,174
8.3,82.9,Altona,WESTERN D1,46,2,50
8.5,82.6,Taylors Lakes,WESTERN D2,48,2,59
8.2,82.2,Mentone,SOUTHERN D1,33,2,143
8.5,81.8,Spotswood,WESTERN D1,45,2,64
7.9,81.1,Eltham City,EASTERN,82,2,64
9.0,80.7,Pascoe Vale,NORTHERN,6,2,177
8.7,80.0,South Warrandyte,EASTERN,84,2,26
8.6,79.5,Keilor,WESTERN D2,51,2,112
10.0,79.5,Shepparton,SOUTH & EAST REGIONAL,75,2,161
9.8,79.5,Cranbourne,SOUTHERN D2,92,2,151
8.8,79.0,Wodonga,SOUTH & EAST REGIONAL,76,2,109
9.5,77.8,Craigieburn,NORTHERN,80,2,140
9.3,77.7,Hallam,SOUTHERN D2,88,2,201
8.6,77.4,Pakenham,SOUTHERN D2,93,2,118
9.6,76.3,Point Cook,WESTERN D1,58,2,81
9.9,75.9,Sunbury,WESTERN D2,53,2,87
9.3,74.7,Tullamarine,WESTERN D2,52,2,122
10.0,74.7,Melton,WESTERN D2,56,2,220
8.6,74.5,Derrimut,WESTERN D1,59,2,64
9.3,65.7,Greenvale,WESTERN D2,54,2,47
10.5,63.8,Tarneit,WESTERN D1,57,2,244
9.6,58.0,Caroline Springs,WESTERN D2,55,2,179
11.3,49.0,Lara,WESTERN D3,61,2,58
5.87,100.0,Ocean Grove,WESTERN D3,66,3,24
5.48,100.0,Ballarat City,NORTH & WEST REGIONAL,67,3,82
6.83,100.0,Lucas,NORTH & WEST REGIONAL,68,3,48
5.5,97.5,Eastern Hill,CENTRAL,1,3,374
6.27,96.7,Carlton,CENTRAL,3,3,349
7.05,96.7,Belmont,WESTERN D3,64,3,114
6.48,96.6,South Melbourne,CENTRAL,38,3,366
6.7,95.6,Richmond,CENTRAL,10,3,263
7.55,95.6,Greensborough,NORTHERN,16,3,83
7.28,95.5,Traralgon,SOUTH & EAST REGIONAL,77,3,71
7.05,95.2,Portland,NORTH & WEST REGIONAL,71,3,25
7.0,95.0,Footscray,WESTERN D1,47,3,211
6.7,94.9,Rowville,SOUTHERN D1,86,3,53
7.05,94.7,Vermont South,EASTERN,28,3,96
7.13,94.7,Port Melbourne,CENTRAL,39,3,122
7.08,94.2,Burwood,EASTERN,23,3,140
7.67,94.1,South Morang,NORTHERN,81,3,57
7.5,93.9,Sunshine,WESTERN D2,44,3,214
6.57,93.6,West Melbourne,CENTRAL,2,3,309
7.23,93.5,Preston,NORTHERN,12,3,158
6.77,93.3,Morwell,SOUTH & EAST REGIONAL,78,3,84
7.32,93.2,Brunswick,CENTRAL,4,3,203
7.13,93.0,Croydon,EASTERN,26,3,138
7.52,92.8,Wangaratta,SOUTH & EAST REGIONAL,74,3,78
7.23,92.1,Windsor,CENTRAL,35,3,459
7.6,91.8,Geelong City,WESTERN D3,63,3,165
7.67,91.7,Glen Waverley,SOUTHERN D1,31,3,225
7.7,91.7,Bendigo,NORTH & WEST REGIONAL,73,3,151
7.55,91.4,Nunawading,EASTERN,27,3,120
7.63,91.3,Box Hill,EASTERN,20,3,159
7.8,90.9,Bundoora,NORTHERN,14,3,130
7.97,90.7,Ringwood,EASTERN,22,3,118
7.62,90.6,Oakleigh,SOUTHERN D1,25,3,148
8.08,90.6,Mentone,SOUTHERN D1,33,3,126
8.4,90.0,Pascoe Vale,NORTHERN,6,3,127
7.95,89.9,Mornington,SOUTHERN D2,94,3,80
7.68,89.8,Rosebud,SOUTHERN D2,95,3,59
7.88,89.7,Clayton,SOUTHERN D1,29,3,136
7.72,89.5,Newport,WESTERN D1,42,3,80
7.98,89.1,Heidelberg,NORTHERN,15,3,199
8.15,88.9,Sunbury,WESTERN D2,53,3,75
8.03,88.5,Deer Park,WESTERN D2,43,3,114
7.88,88.4,Ascot Vale,CENTRAL,50,3,189
7.83,88.1,Ormond,SOUTHERN D1,32,3,203
7.43,88.1,Taylors Lakes,WESTERN D2,48,3,50
7.92,88.1,Boronia,EASTERN,85,3,75
8.18,88.0,Frankston,SOUTHERN D2,91,3,210
7.87,87.6,Hawthorn,CENTRAL,18,3,193
8.28,87.4,North Balwyn,EASTERN,19,3,123
8.22,87.4,St Albans,WESTERN D2,41,3,130
8.57,87.2,Mildura,NORTH & WEST REGIONAL,72,3,104
7.95,87.0,Somerton,NORTHERN,9,3,58
7.95,86.6,Northcote,CENTRAL,13,3,148
8.02,86.5,Thomastown,NORTHERN,7,3,122
8.48,86.3,Dandenong,SOUTHERN D2,87,3,261
8.32,86.0,Craigieburn,NORTHERN,80,3,130
8.68,85.9,Broadmeadows,NORTHERN,5,3,241
8.17,85.4,Warrnambool,NORTH & WEST REGIONAL,70,3,99
7.85,84.8,Altona,WESTERN D1,46,3,39
8.08,84.5,Epping,NORTHERN,11,3,94
8.1,84.4,Latrobe West,SOUTH & EAST REGIONAL,79,3,47
8.48,84.3,Cranbourne,SOUTHERN D2,92,3,173
8.32,84.1,Patterson River,SOUTHERN D2,90,3,83
8.32,83.7,Corio,WESTERN D3,62,3,174
8.92,83.4,Malvern,SOUTHERN D1,24,3,175
8.57,83.3,Highett,SOUTHERN D1,34,3,186
8.47,83.2,Shepparton,SOUTH & EAST REGIONAL,75,3,141
8.65,83.1,Pakenham,SOUTHERN D2,93,3,99
8.98,82.8,Laverton,WESTERN D1,40,3,74
8.5,82.6,Hallam,SOUTHERN D2,88,3,150
9.12,82.4,Templestowe,EASTERN,30,3,77
8.47,82.1,Wodonga,SOUTH & EAST REGIONAL,76,3,77
8.83,81.7,Eltham City,EASTERN,82,3,70
8.48,81.2,Tullamarine,WESTERN D2,52,3,103
8.6,80.8,Keilor,WESTERN D2,51,3,103
8.4,80.2,Springvale,SOUTHERN D1,89,3,123
9.37,79.2,Point Cook,WESTERN D1,58,3,116
9.05,77.9,Tarneit,WESTERN D1,57,3,196
8.9,76.3,Spotswood,WESTERN D1,45,3,124
8.73,75.7,Derrimut,WESTERN D1,59,3,84
10.13,71.3,Melton,WESTERN D2,56,3,196
9.57,67.8,Caroline Springs,WESTERN D2,55,3,167
9.57,60.0,South Warrandyte,EASTERN,84,3,21
12.83,59.0,Greenvale,WESTERN D2,54,3,48
10.73,39.1,Lara,WESTERN D3,61,3,46
5.85,100.0,Ocean Grove,WESTERN D3,66,4,32
5.62,97.5,Eastern Hill,CENTRAL,1,4,389
6.52,97.1,Carlton,CENTRAL,3,4,376
6.52,96.6,Ballarat City,NORTH & WEST REGIONAL,67,4,100
7.3,95.3,Burwood,EASTERN,23,4,166
7.08,95.2,Rosebud,SOUTHERN D2,95,4,75
6.65,95.1,West Melbourne,CENTRAL,2,4,356
7.43,94.4,Clayton,SOUTHERN D1,29,4,133
7.15,93.7,Geelong City,WESTERN D3,63,4,187
7.43,93.1,Box Hill,EASTERN,20,4,176
6.9,93.0,Croydon,EASTERN,26,4,134
7.67,92.9,Preston,NORTHERN,12,4,221
7.85,92.9,St Albans,WESTERN D2,41,4,155
6.87,92.8,South Melbourne,CENTRAL,38,4,426
7.32,92.2,Morwell,SOUTH & EAST REGIONAL,78,4,69
7.27,92.1,Richmond,CENTRAL,10,4,311
7.57,91.8,Brunswick,CENTRAL,4,4,258
7.3,91.7,Nunawading,EASTERN,27,4,156
7.5,91.6,Vermont South,EASTERN,28,4,188
7.65,91.5,Somerton,NORTHERN,9,4,85
7.02,91.4,Rowville,SOUTHERN D1,86,4,73
7.57,91.2,Ringwood,EASTERN,22,4,184
8.0,91.0,Epping,NORTHERN,11,4,134
7.75,90.5,Sunshine,WESTERN D2,44,4,209
7.53,90.45,Mornington,SOUTHERN D2,94,4,90
8.22,90.4,Frankston,SOUTHERN D2,91,4,285
7.6,90.3,Belmont,WESTERN D3,64,4,114
7.18,90.2,Boronia,EASTERN,85,4,97
7.75,90.1,Oakleigh,SOUTHERN D1,25,4,193
8.13,89.2,Malvern,SOUTHERN D1,24,4,189
7.62,89.0,Greensborough,NORTHERN,16,4,111
7.78,88.7,Port Melbourne,CENTRAL,39,4,159
7.9,88.7,Mildura,NORTH & WEST REGIONAL,72,4,126
7.95,88.3,Windsor,CENTRAL,35,4,526
8.2,88.3,Footscray,WESTERN D1,47,4,260
7.95,88.2,Keilor,WESTERN D2,51,4,142
7.9,88.1,Mentone,SOUTHERN D1,33,4,166
7.97,88.1,Wangaratta,SOUTH & EAST REGIONAL,74,4,65
8.2,88.1,Eltham City,EASTERN,82,4,95
7.73,87.7,Templestowe,EASTERN,30,4,92
8.22,87.7,Shepparton,SOUTH & EAST REGIONAL,75,4,162
8.25,87.5,Heidelberg,NORTHERN,15,4,270
7.97,87.4,Newport,WESTERN D1,42,4,127
7.82,87.3,South Morang,NORTHERN,81,4,68
8.07,87.0,Thomastown,NORTHERN,7,4,160
7.82,86.8,Bundoora,NORTHERN,14,4,174
8.13,86.4,Hawthorn,CENTRAL,18,4,236
8.4,85.6,Ascot Vale,CENTRAL,50,4,255
8.47,85.2,Taylors Lakes,WESTERN D2,48,4,74
8.15,85.2,Lucas,NORTH & WEST REGIONAL,68,4,61
8.05,85.2,Portland,NORTH & WEST REGIONAL,71,4,31
8.4,84.9,Traralgon,SOUTH & EAST REGIONAL,77,4,84
8.17,84.9,Latrobe West,SOUTH & EAST REGIONAL,79,4,62
8.38,84.8,Glen Waverley,SOUTHERN D1,31,4,281
8.87,82.8,Hallam,SOUTHERN D2,88,4,190
8.83,82.6,Dandenong,SOUTHERN D2,87,4,297
7.83,82.4,Altona,WESTERN D1,46,4,46
9.75,82.4,Pakenham,SOUTHERN D2,93,4,102
8.58,82.3,Northcote,CENTRAL,13,4,182
8.7,82.2,Warrnambool,NORTH & WEST REGIONAL,70,4,104
9.2,82.0,North Balwyn,EASTERN,19,4,147
8.6,82.0,Ormond,SOUTHERN D1,32,4,250
8.62,81.5,Springvale,SOUTHERN D1,89,4,202
8.13,81.2,Corio,WESTERN D3,62,4,207
8.57,80.9,Bendigo,NORTH & WEST REGIONAL,73,4,214
8.45,80.8,Wodonga,SOUTH & EAST REGIONAL,76,4,115
9.08,80.8,Cranbourne,SOUTHERN D2,92,4,230
8.37,80.5,Highett,SOUTHERN D1,34,4,235
8.57,80.1,Broadmeadows,NORTHERN,5,4,260
8.42,80.0,South Warrandyte,EASTERN,84,4,36
8.8,79.3,Spotswood,WESTERN D1,45,4,159
9.2,79.1,Pascoe Vale,NORTHERN,6,4,164
8.82,79.1,Deer Park,WESTERN D2,43,4,141
8.87,78.9,Laverton,WESTERN D1,40,4,92
9.68,77.0,Patterson River,SOUTHERN D2,90,4,94
9.18,76.6,Sunbury,WESTERN D2,53,4,92
9.4,75.8,Craigieburn,NORTHERN,80,4,158
9.5,75.6,Melton,WESTERN D2,56,4,246
10.47,75.6,Point Cook,WESTERN D1,58,4,147
9.48,72.8,Tullamarine,WESTERN D2,52,4,123
10.97,68.5,Greenvale,WESTERN D2,54,4,65
10.97,67.0,Tarneit,WESTERN D1,57,4,259
10.42,66.7,Lara,WESTERN D3,61,4,64
9.98,65.2,Caroline Springs,WESTERN D2,55,4,195
9.33,64.8,Derrimut,WESTERN D1,59,4,125
